fips,state,year,sex,sex_cat,age,age_cat,hf_ageadjusted,hf_count,hf_rate,hf_ll,hf_ul,hf_attrib,stroke_ageadjusted,stroke_count,stroke_rate,stroke_ll,stroke_ul,mi_ageadjusted,mi_count,mi_rate,mi_ll,mi_ul,mi_attrib,lea_ageadjusted,lea_count,lea_rate,lea_ll,lea_ul,lea_attrib,hypogl_ageadjusted,hypogl_count,hypogl_rate,hypogl_ll,hypogl_ul,hhns_ageadjusted,hhns_count,hhns_rate,hhns_ll,hhns_ul,dka_ageadjusted,dka_count,dka_rate,dka_ll,dka_ul
30,MONTANA,2014,1,Males,3,65-74,,139,14.48206963,11.41756438633612,17.54657487629539,90,,110,11.46063064,9.035482608,13.88577868,,104,10.83550534,8.542638102,13.12837257,0,,49,5.105190013917066,4.024896798,6.18548323,40,,12,1.250250616,0.985689012,1.51481222,,,,,,,,,,
30,MONTANA,2014,1,Males,4,75+,,197,34.59594593,24.40514057154244,44.78675127857257,50,,146,25.63963505,18.08705849,33.19221161,,106,18.6150775,13.1317,24.098455,20,,22,3.863506651529264,2.72544717,5.001566133,10,,20,3.512278774,2.477679246,4.546878302,,,,,,,,,,
30,MONTANA,2014,1,Males,6,65+,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,14,0.915488361,0.758042401,1.072934321,,11,0.719312284,0.595604744,0.843019823
30,MONTANA,2014,2,Females,0,18+,7.8,372,13.33890372,11.68484015844284,14.9929672888394,210,6.2,278,9.968320525,8.732219258,11.20442179,4.8,171,6.131592841,5.37125717,6.891928512,30,3.4,85,3.047867786315848,2.669923154,3.425812418,60,2.7,52,1.86457794,1.633364753,2.095791126,2.4,33,1.183289846,1.036558401,1.330021292,26.5,210,7.530026296,6.596280735,8.463771857
30,MONTANA,2014,2,Females,1,18-44,,11,3.750876136,2.112617440824796,5.389134832110665,0,,11,3.750876136,2.112617441,5.389134832,,11,3.750876136,2.112617441,5.389134832,0,,11,3.750876136467731,2.112617441,5.389134832,0,,11,3.750876136,2.112617441,5.389134832,,11,3.750876136,2.112617441,5.389134832,,138,47.05644608,26.50374608,67.60914608
30,MONTANA,2014,2,Females,2,45-64,,75,5.883100235,4.759019366386555,7.00718110406155,50,,49,3.843625487,3.109225986,4.578024988,,57,4.471156179,3.616854718,5.325457639,30,,42,3.294536131725469,2.665050845,3.924021418,40,,16,1.255061384,1.015257465,1.494865302,,11,0.862854701,0.697989507,1.027719895,,53,4.157390833,3.363040352,4.951741314
30,MONTANA,2014,2,Females,3,65-74,,92,13.96806237,10.54830329670141,17.38782144640354,70,,79,11.99431443,9.057782179,14.93084668,,43,6.528550891,4.930185237,8.126916546,0,,17,2.581055003439043,1.949143,3.212967006,10,,11,1.670094414,1.261210177,2.078978651,,,,,,,,,,
30,MONTANA,2014,2,Females,4,75+,,194,34.51425309,26.0844725778521,42.94403360485329,90,,139,24.72928443,18.68939015,30.76917872,,60,10.67451127,8.067362653,13.28165988,0,,15,2.668627816341703,2.016840663,3.320414969,10,,14,2.490719295,1.882384619,3.099053971,,,,,,,,,,
30,MONTANA,2014,2,Females,6,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.901098669,0.745043467,1.057153871,,19,1.556443155,1.286893261,1.825993049
38,NORTH DAKOTA,2014,0,Overall,0,18+,9.2,776,15.5753372,14.15550530554001,16.9951690984997,360,7.5,585,11.74171683,10.67135387,12.8120798,11,757,15.1939823,13.80891433,16.57905027,150,7.1,333,6.683746505505942,6.074462973,7.293030038,290,2.7,90,1.806417974,1.641746749,1.9710892,2.5,66,1.324706515,1.203947616,1.445465413,26.2,360,7.225671898,6.566986997,7.884356798
